@relation Nomao

@attribute c2 numeric
@attribute c3 numeric
@attribute c4 numeric
@attribute c5 numeric
@attribute c6 numeric
@attribute c7 numeric
@attribute c8 {s,n}
@attribute c9 {s,n}
@attribute c10 numeric
@attribute c11 numeric
@attribute c12 numeric
@attribute c13 numeric
@attribute c14 numeric
@attribute c15 numeric
@attribute c16 {m,s,n}
@attribute c17 {m,s,n}
@attribute c18 numeric
@attribute c19 numeric
@attribute c20 numeric
@attribute c21 numeric
@attribute c22 numeric
@attribute c23 numeric
@attribute c24 {m,s,n}
@attribute c25 {m,s,n}
@attribute c26 numeric
@attribute c27 numeric
@attribute c28 numeric
@attribute c29 numeric
@attribute c30 numeric
@attribute c31 numeric
@attribute c32 {m,s,n}
@attribute c33 {m,s,n}
@attribute c34 numeric
@attribute c35 numeric
@attribute c36 numeric
@attribute c37 numeric
@attribute c38 numeric
@attribute c39 numeric
@attribute c40 {m,s,n}
@attribute c41 {m,s,n}
@attribute c42 numeric
@attribute c43 numeric
@attribute c44 numeric
@attribute c45 numeric
@attribute c46 numeric
@attribute c47 numeric
@attribute c48 {m,s,n}
@attribute c49 {m,s,n}
@attribute c50 numeric
@attribute c51 numeric
@attribute c52 numeric
@attribute c53 numeric
@attribute c54 numeric
@attribute c55 numeric
@attribute c56 {s,m,n}
@attribute c57 {s,m,n}
@attribute c58 numeric
@attribute c59 numeric
@attribute c60 numeric
@attribute c61 numeric
@attribute c62 numeric
@attribute c63 numeric
@attribute c64 {n,s,m}
@attribute c65 {n,s,m}
@attribute c66 numeric
@attribute c67 numeric
@attribute c68 numeric
@attribute c69 numeric
@attribute c70 numeric
@attribute c71 numeric
@attribute c72 {s,n,m}
@attribute c73 {s,n,m}
@attribute c74 numeric
@attribute c75 numeric
@attribute c76 numeric
@attribute c77 numeric
@attribute c78 numeric
@attribute c79 numeric
@attribute c80 {s,n,m}
@attribute c81 {s,n,m}
@attribute c82 numeric
@attribute c83 numeric
@attribute c84 numeric
@attribute c85 numeric
@attribute c86 numeric
@attribute c87 numeric
@attribute c88 {s,m,n}
@attribute c89 {s,m,n}
@attribute c90 numeric
@attribute c91 numeric
@attribute c92 numeric
@attribute c93 {m,n,s}
@attribute c94 numeric
@attribute c95 numeric
@attribute c96 numeric
@attribute c97 {m,s,n}
@attribute c98 numeric
@attribute c99 numeric
@attribute c100 numeric
@attribute c101 {s,n,m}
@attribute c102 numeric
@attribute c103 numeric
@attribute c104 numeric
@attribute c105 {s,n,m}
@attribute c106 numeric
@attribute c107 numeric
@attribute c108 numeric
@attribute c109 {s,n,m}
@attribute c110 numeric
@attribute c111 numeric
@attribute c112 numeric
@attribute c113 {n,m,s}
@attribute c114 numeric
@attribute c115 numeric
@attribute c116 numeric
@attribute c117 {n,m,s}
@attribute c118 numeric
@attribute c119 numeric
@attribute class {1,-1}

@data
0,0,0.25,0.083333,0.285714,0.086957,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,0,0,0.314103,0.066239,0.3125,0.0625,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.375,0.272727,0.530702,0.361111,0.576923,0.338235,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,0.000002,0.545455,0.263158,n,?,?,?,m,0.030303,0.5,0.25,n,1,1,1,s,1,1,1,s,?,?,?,m,?,?,?,m,1,?,-1
1,0.75,0.857143,0.857143,0.766667,0.774194,s,n,1,0.75,0.857143,0.857143,0.714286,0.727273,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,0.916667,0.846154,0.937143,0.92,0.885714,0.921875,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,1,1,1,s,0.999754,0.555556,0.357143,n,0.999989,0.7,0.466667,n,?,?,?,m,?,?,?,m,1,?,1
0,0,0.148148,0,0.137931,0,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,0.8,0.8,0.971429,0.88,1,1,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.75,0.75,0.89881,0.83125,0.902439,0.860465,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,s,?,?,?,m,1,1,1,s,1,1,1,s,1,1,1,s,?,?,?,m,?,?,?,m,1,?,1
1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.833333,0.833333,0.916667,0.866667,0.970588,0.882353,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,1,1,1,s,1,1,1,s,1,1,1,s,0.999983,0.666667,0.461538,n,0.999993,0.8,0.666667,n,1,1,1
1,0.25,0.4,0.4,0.285714,0.318182,s,n,1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,0.25,0.4,0.4,0.309524,0.333333,s,n,1,0.25,0.4,0.4,0.309524,0.333333,s,n,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,?,?,?,n,0.998602,0.666667,0.25,n,0.997828,0.5,0.3125,n,0.996765,0.5,0.285714,n,0.995382,0.555556,0.333333,n,0.999993,0.999968,-1
0.8,0.8,0.914286,0.888889,0.916667,0.861111,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.8,0.571429,0.814103,0.776389,0.813953,0.73913,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,1,1,1,s,0.999949,0.666667,0.428571,n,0.999948,0.7,0.375,n,0.999982,0.666667,0.461538,n,0.999991,0.7,0.5,n,1,1,1
1,1,1,1,0.2,1,s,s,1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,0.428571,0.6,0.6,0.447368,0.473684,s,n,1,0.428571,0.6,0.6,0.447368,0.473684,s,n,1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,1,1,1,s,?,?,?,m,0.000032,0.285714,0.181818,n,0.996494,0.5,0.214286,n,0.996413,0.5,0.294118,n,0.996494,0.5,0.214286,n,0.996413,0.5,0.294118,n,0.999975,0.999975,1
0.5,0.5,0.5,0.5,0.363636,0.533333,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,0.000001,0.363636,0.2,n,?,?,?,m,1,1,1,s,0.999997,0.777778,0.538462,n,0.9999,0.9,0.571429,n,?,?,?,m,?,?,?,m,1,?,1
0.333333,0.25,0.389342,0.285714,0.30303,0.139535,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,s,?,?,?,m,1,1,1,s,0.99998,0.888889,0.538462,n,0.999916,0.6,0.375,n,0.999936,0.444444,0.266667,n,0.999904,0.7,0.4,n,1,1,1
1,0.5,0.666667,0.666667,0.571429,0.6,s,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,0.714286,0.833333,0.833333,0.609756,0.8,s,n,1,0.857143,0.923077,0.923077,0.926829,0.925,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,s,?,?,?,m,?,?,?,n,0.99734,0.333333,0.117647,n,0.999696,0.7,0.4,n,?,?,?,m,?,?,?,m,0.999993,?,1
1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,0.714286,0.833333,0.833333,0.684211,0.710526,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,s,?,?,?,m,1,1,1,s,0.999964,0.555556,0.333333,n,0.999902,0.4,0.222222,n,?,?,?,m,?,?,?,m,1,?,1
0,0,0.1,0.036364,0,0.045455,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,?,?,?,n,1,1,1,s,1,1,1,s,1,1,1,s,1,1,1,s,1,1,-1
1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.75,0.5,0.6,0.6,0.689655,0.606061,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,s,?,?,?,m,1,1,1,s,1,1,1,s,1,1,1,s,?,?,?,m,?,?,?,m,1,?,1
1,0.75,0.857143,0.857143,0.76,0.8,s,n,0,0,0.571429,0.363636,0.571429,0.363636,n,n,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,0,0,0,0,0,0,n,n,1,1,1,1,1,1,s,s,0.75,0.428571,0.673593,0.61157,0.555556,0.5,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,1,1,1,s,1,1,1,s,1,1,1,s,?,?,?,m,?,?,?,m,1,?,1
1,0.75,0.857143,0.857143,0.76,0.76,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,0.2,0.166667,0.466667,0.218182,0.37931,0.066667,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.375,0.333333,0.576471,0.405882,0.541667,0.261538,n,n,1,0.222222,0.363636,0.363636,0.25,0.276596,s,n,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,?,?,?,n,0.999186,0.5,0.266667,n,0.999866,0.6,0.333333,n,?,?,?,m,?,?,?,m,0.999999,?,1
0,0,0.171429,0.038462,0.076923,0.037037,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,0,0,0.232099,0,0.296296,0,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.333333,0.222222,0.449735,0.306553,0.44186,0.238095,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,0.043478,0.5,0.285714,n,1,1,1,s,1,1,1,s,?,?,?,m,?,?,?,m,1,?,-1
1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,0.75,0.75,0.944444,0.875,0.909091,0.76,n,n,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.857143,0.666667,0.75,0.75,0.543478,0.574468,n,n,1,0.888889,0.941176,0.941176,0.954545,0.954545,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,?,?,?,n,0.999867,0.444444,0.25,n,0.999998,0.8,0.571429,n,0.997689,0.75,0.6,n,0.999205,0.555556,0.384615,n,1,0.999994,1
1,0.666667,0.8,0.8,0.6,0.724138,s,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,0.857143,0.923077,0.923077,0.564103,0.74359,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,1,1,1,s,1,1,1,s,1,1,1,s,?,?,?,m,?,?,?,m,1,?,1
1,0.666667,0.8,0.8,0.684211,0.684211,s,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,0.888889,0.941176,0.941176,0.851064,0.851064,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,1,1,1,s,1,1,1,s,1,1,1,s,0.998911,0.75,0.285714,n,0.999109,0.555556,0.333333,n,1,0.999998,1
1,0.6,0.75,0.75,0.59375,0.666667,s,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,0,0,0.714286,0.5,0.714286,0.5,n,n,1,1,1,1,1,1,s,s,0.666667,0.4,0.736607,0.613636,0.538462,0.555556,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,1,1,1,s,1,1,1,s,1,1,1,s,?,?,?,m,?,?,?,m,1,?,1
0.5,0.5,0.555556,0.5,0.529412,0.4,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,0,0,0.5,0.285714,0.5,0.285714,n,n,1,1,1,1,1,1,s,s,0.333333,0.333333,0.436772,0.348485,0.27907,0.216667,n,n,0.333333,0.285714,0.510867,0.398601,0.564103,0.310345,n,n,0,0,0.8,0.5,0.8,0.5,n,n,1,1,1,1,1,1,s,s,1,1,1,s,?,?,?,m,?,?,?,n,0.999399,0.555556,0.266667,n,0.997948,0.6,0.235294,n,?,?,?,m,?,?,?,m,0.999995,?,1
0.666667,0.4,0.571429,0.5,0.548387,0.325,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.333333,0.333333,0.493056,0.377778,0.567568,0.314815,n,n,0.285714,0.25,0.551111,0.361481,0.591837,0.305556,n,n,0,0,0.8,0.333333,0.8,0.333333,n,n,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,0.005464,0.6,0.375,n,0.951936,0.333333,0.111111,n,0.992049,0.5,0.294118,n,0.951936,0.375,0.133333,n,0.992052,0.666667,0.333333,n,0.997393,0.997393,-1
1,0.4,0.571429,0.571429,0.5,0.521739,s,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,0.857143,0.923077,0.923077,0.738095,0.738095,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,1,1,1,s,0.999913,0.666667,0.428571,n,0.999948,0.6,0.375,n,?,?,?,m,?,?,?,m,1,?,1
0,0,0.25,0.03125,0.25,0.035714,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,0,0,0.365079,0.084849,0.25,0.071429,n,n,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,0.428571,0.375,0.619048,0.450909,0.608696,0.387097,n,n,0.428571,0.375,0.619048,0.450909,0.608696,0.387097,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,0.5,0.75,0.428571,n,0.995914,0.444444,0.25,n,0.996599,0.6,0.3125,n,0.995837,0.625,0.285714,n,0.996627,0.666667,0.333333,n,0.999972,0.999971,-1
0.666667,0.666667,0.952381,0.888889,0.954545,0.875,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.285714,0.285714,0.568027,0.432937,0.611111,0.590909,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,s,?,?,?,m,?,?,?,n,1,1,1,s,1,1,1,s,1,1,1,s,1,1,1,s,1,1,1
1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.8,0.666667,0.727273,0.727273,0.555556,0.454545,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,s,?,?,?,m,1,1,1,s,1,1,1,s,1,1,1,s,1,1,1,s,0.999999,0.888889,0.666667,n,1,1,1
1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.75,0.666667,0.803922,0.768908,0.745763,0.62069,n,n,1,0.666667,0.8,0.8,0.714286,0.727273,s,n,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,1,1,s,?,?,?,m,1,1,1,s,0.989918,0.333333,0.176471,n,0.958534,0.4,0.166667,n,0.980498,0.571429,0.25,n,0.974089,0.428571,0.3,n,0.998029,0.998898,1
1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.833333,0.833333,0.833333,0.833333,0.69697,0.675,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,s,?,?,?,m,1,1,1,s,1,1,1,s,1,1,1,s,?,?,?,m,?,?,?,m,1,?,1
1,0.666667,0.8,0.8,0.666667,0.684211,s,n,1,0.5,0.666667,0.666667,0.454545,0.5,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,0.857143,0.857143,0.928571,0.897959,0.878049,0.777778,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,1,1,1,s,1,1,1,s,1,1,1,s,?,?,?,m,?,?,?,m,1,?,1
1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.75,0.6,0.666667,0.666667,0.555556,0.454545,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,s,?,?,?,m,1,1,1,s,1,1,1,s,1,1,1,s,1,1,1,s,0.999999,0.777778,0.583333,n,1,1,1
1,0.5,0.666667,0.666667,0.571429,0.6,s,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.8,0.571429,0.796296,0.755051,0.862069,0.75,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,s,1,1,1,s,1,1,1,s,1,1,1,s,1,1,1,s,?,?,?,m,?,?,?,m,1,?,1
0,0,0.095238,0,0.076923,0,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,0,0,0.295635,0,0.208333,0,n,n,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,0.5,0.375,0.597506,0.428571,0.568182,0.344828,n,n,0.5,0.428571,0.630647,0.461538,0.6,0.37037,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,0.047619,0.75,0.285714,n,0.993221,0.4,0.176471,n,0.995799,0.6,0.294118,n,0.993151,0.555556,0.2,n,0.995659,0.666667,0.333333,n,0.999936,0.999933,-1
1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,0.875,0.933333,0.933333,0.865385,0.895833,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,s,?,?,?,m,1,1,1,s,1,1,1,s,1,1,1,s,?,?,?,m,?,?,?,m,1,?,1
1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.666667,0.571429,0.773504,0.672527,0.690476,0.54717,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,1,1,1,s,0.999731,0.666667,0.333333,n,0.999899,0.7,0.375,n,?,?,?,m,?,?,?,m,1,?,1
1,0.75,0.857143,0.857143,0.291667,0.76,s,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.6,0.6,0.935,0.776623,1,1,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,1,1,1,s,1,1,1,s,1,1,1,s,?,?,?,m,?,?,?,m,1,?,1
0,0,0.066667,0,0.04,0,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,?,?,?,n,1,1,1,s,1,1,1,s,0.944107,0.266667,0.111111,n,0.981962,0.307692,0.166667,n,1,0.996172,-1
0.5,0.5,0.571429,0.5,0.4,0.166667,n,n,1,1,1,1,1,1,s,s,0,0,0.8,0.333333,0.8,0.333333,n,n,0.2,0.142857,0.386111,0.208333,0.25,0.1,n,n,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,0.375,0.3,0.568519,0.398148,0.568182,0.344262,n,n,0.375,0.272727,0.580702,0.377193,0.591837,0.33871,n,n,0,0,0.8,0.333333,0.8,0.333333,n,n,1,1,1,1,1,1,s,s,0.000009,0.454545,0.263158,n,?,?,?,m,0.033333,0.5,0.285714,n,0.991509,0.4,0.1875,n,0.987138,0.5,0.25,n,0.992402,0.444444,0.214286,n,0.987743,0.444444,0.25,n,0.999757,0.999787,-1
0.666667,0.666667,0.666667,0.666667,0.421053,0.538462,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,0.857143,0.923077,0.923077,0.918919,0.921053,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,1,1,1,s,0.999939,0.666667,0.428571,n,0.999902,0.7,0.375,n,?,?,?,m,?,?,?,m,1,?,1
0,0,0.135714,0.071429,0.083333,0.045455,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.8,0.8,0.8,0.8,0.566667,0.628571,n,n,1,0.833333,0.909091,0.909091,0.882353,0.878788,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,0.000609,0.636364,0.411765,n,?,?,?,m,?,?,?,n,0.999943,0.666667,0.428571,n,0.999914,0.7,0.538462,n,?,?,?,m,?,?,?,m,1,?,-1
0.666667,0.666667,0.777778,0.666667,0.055556,0.333333,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.833333,0.833333,0.966667,0.928571,0.974359,0.926829,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,1,1,1,s,1,1,1,s,1,1,1,s,0.999964,0.75,0.545455,n,0.99998,0.888889,0.538462,n,1,1,1
1,0.75,0.857143,0.857143,0.833333,0.833333,s,n,1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,0.833333,0.5,0.772222,0.692308,0.634615,0.704545,n,n,?,?,?,?,?,?,m,m,0,0,0.5,0.285714,0.5,0.285714,n,n,1,1,1,1,1,1,s,s,0.75,0.461538,0.735979,0.649922,0.591549,0.588235,n,n,1,0.176471,0.3,0.3,0.195652,0.24359,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,?,?,?,n,0.98161,0.444444,0.133333,n,0.989505,0.5,0.266667,n,?,?,?,m,?,?,?,m,0.999537,?,1
1,0.75,0.857143,0.857143,0.823529,0.833333,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,0,0.454545,0.2,n,?,?,?,m,1,1,1,s,1,1,1,s,1,1,1,s,0.999999,0.777778,0.538462,n,1,0.9,0.75,n,1,1,1
0,0,0.111111,0,0.090909,0,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,0,0,0.166667,0,0.166667,0,n,n,1,1,1,1,1,1,s,s,0.166667,0.166667,0.364881,0.222619,0.235294,0.137931,n,n,1,0.666667,0.8,0.8,0.666667,0.684211,s,n,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.000004,0.454545,0.263158,n,?,?,?,m,?,?,?,m,0.999108,0.444444,0.25,n,0.995893,0.5,0.25,n,?,?,?,m,?,?,?,m,0.999982,?,-1
